Boeing Model 40	Boeing aircraft
Jamil Mahuad	1949 births, Living people, Ecuadorian lawyers, Presidents of Ecuador, Mayors of Quito
Alfredo Palacio	1939 births, Living people, Presidents of Ecuador, Vice Presidents of Ecuador, People from Guayaquil
Lucio Gutiérrez	1957 births, Living people, Presidents of Ecuador, People from Guayaquil
Eloy Alfaro	1842 births, 1912 deaths, Assassinated people, Presidents of Ecuador
María Ángeles Calderón González	Spanish goalball players, Living people, 1974 births, Spanish Paralympic silver medalists, Sportspeople from Madrid, 2000 Summer Paralympics, Sportspeople with disabilities, type B2
Juan José Flores	1800 births, 1864 deaths, Deaths from renal failure, Deaths from uremia, Presidents of Ecuador, Venezuelan people
Galo Plaza	1906 births, 1987 deaths, Deaths from myocardial infarction, Presidents of Ecuador, Politicians from New York City, Secretaries General of the Organization of American States
Concepción Dueso Garcés	Spanish goalball players, Living people, 1967 births, Spanish Paralympic silver medalists, People from Aragon, 2000 Summer Paralympics, Sportspeople with disabilities, type B3
Michelle Alonso Morales	Spanish swimmers, Living people, 1994 births, Spanish Paralympic gold medalists, People from Guipuzcoa, 2012 Summer Paralympics
Josefa Benítez Guzman	Spanish cyclists, Living people, 1969 births, Spanish Paralympic silver medalists, 2012 Summer Paralympics, Sportspeople from Barcelona
John Henry Newman	1801 births, 1890 deaths, 19th century philosophers, Academics of the University of Oxford, Alumni of the University of Oxford, Anglican priests, Beatified people, Cardinals of the Roman Catholic Church, Christian hymnwriters, Christian saints, Christian theologians, Christian writers, Christology, Deaths from pneumonia, English Anglicans, English philosophers, English poets, English priests, English Roman Catholics, English theologians, Roman Catholic priests, Venerated Catholics, Writers from London
2013 Stockholm riots	2013 crimes, 2013 in Sweden, 2010s in Stockholm, Riots
Joseph Campbell	Writers from New York, 1904 births, 1987 deaths
North Dakota State University	Colleges and universities in the United States, Fargo, North Dakota, 1890 establishments in the United States, 1890s establishments in North Dakota
Quail	Galliformes
Carl Bloch	1834 births, 1890 deaths, Danish painters
Aérospatiale SA-321 Super Frelon	French military aircraft, Aérospatiale, Helicopters
Edward Winslow	Mayflower passengers, 1595 births, 1655 deaths
Martial law	Law, Military
List of One Day International cricket matches played by Bangladesh and Canada	Cricket lists, Sport in Bangladesh, Sport in Canada
Saturnalia (dinosaur)	Dinosaurs of South America, Triassic dinosaurs
360	360
Misery (movie)	1990 crime movies, 1990 thriller movies, 1990s crime thriller movies, Academy Award winning movies, American crime thriller movies, Antisocial personality disorder in fiction, Movies based on books by Stephen King, Movies directed by Rob Reiner, Movies set in Colorado
Edward "Tug" Wilson	1921 births, 2009 deaths, British Army people, People from Yorkshire
Black hair	Hair
Mekelle	Cities in Ethiopia
Muhammad ibn Ahmad ibn Gazi	Mathematicians, African people, 1437 births, 1513 deaths, Arab people, Moroccan scientists
Zhaocheng Jin Tripitaka	Spiritual books, Buddhist texts, 1149, Chinese culture
Massasoit	1581 births, 1661 deaths, Native American people, People from Rhode Island, Plymouth Colony
Albrecht Altdorfer	1480s births, 1538 deaths, German painters
Ben Bailey	Comedians from Kentucky, American game show hosts, 1970 births, Living people, Emmy Award winners
Elmer Gantry	1960s action movies, 1960 drama movies, American drama movies, American action movies, Movies based on books, English-language movies, Movies directed by Richard Brooks
Hang 'Em High	1968 movies, American western movies, American crime movies, English-language movies
Body Language (Kylie Minogue album)	2003 albums, Kylie Minogue albums, Dance pop albums
Fabián Alarcón	1947 births, Living people, Presidents of Ecuador, People from Quito
Gustavo Noboa	1937 births, 2021 deaths, Presidents of Ecuador, People from Guayaquil, Vice Presidents of Ecuador, Deaths from myocardial infarction, People with cancer
James Whale	1889 births, 1957 deaths, Actors from Worcestershire, Deaths by drowning, English LGBT people, English movie actors, English movie directors, English stage actors, Gay men, Suicides by drowning, Suicides in the United States
Cash Cab	2005 television series debuts, Television game shows
Ayelet Zurer	1969 births, Living people, Israeli movie actors, Israeli stage actors, Israeli television actors, Israeli voice actors, Jewish Israeli actors, People from Tel Aviv
Antje Traue	1981 births, Living people, German movie actors, German television actors, German voice actors, German stage actors, People from Saxony
Geoffrey Gurrumul Yunupingu	1970 births, 2017 deaths, Deaths from renal failure, Deaths from liver failure, Disease-related deaths in Australia, Indigenous Australian musicians, Musicians from the Northern Territory, Australian singers, Didgeridoo players, Australian guitarists
Looptroop Rockers	Swedish musical groups, Reggae bands, Hip hop bands, Electronic music bands, 1990s music groups, 1991 establishments in Europe, 1990s establishments in Sweden
Eyespot	Vision
Koenigsegg	Automobile companies of Sweden
Managed motorway	Motorways in the United Kingdom
Mooreana trichoneura	Hesperiidae
Kiddush	Judaism
Predator (movie)	1987 horror movies, 1987 action movies, 1980s science fiction movies, American science fiction movies, American action movies, 20th Century Fox movies, English-language movies, Movies directed by John McTiernan, Predator movies, Movies set in North America, Jungle movies
Tor Johnson	Swedish movie actors, Swedish television actors, Professional wrestlers, Deaths from heart failure, 1903 births, 1971 deaths
Colony of Virginia	18th century in Virginia, Former British colonies, 1707 establishments, 1700s establishments in the Thirteen Colonies
List of One Day International cricket matches played by Bangladesh and West Indies	Cricket lists, Sport in Bangladesh
Night of the Ghouls	1959 horror movies, B-movies, American horror movies, Movies directed by Ed Wood, American independent movies, Movies set in California
Paul Marco	American movie actors, American television actors, Actors from Los Angeles, California, 1927 births, 2006 deaths
Duke Moore	Deaths from heart failure, American movie actors, 1913 births, 1976 deaths
Struga	Cities in North Macedonia
Valley Springs, South Dakota	Cities in South Dakota, 1879 establishments in Dakota Territory
Catalan independence	Catalonia, Nationalism, Politics of France, Politics of Spain
Jalil Zandi	1951 births, 2001 deaths, Aviators, Generals, Iranian military people, Road accident deaths
John Le Mesurier	1912 births, 1983 deaths, Deaths from cirrhosis, Disease-related deaths in England, English comedians, English movie actors, English stage actors, English television actors, English voice actors, People from Bedford
Free Realms	2009 video games, 2014 disestablishments, Massively multiplayer online role-playing games
Cellular automaton	Computer science, Mathematics
Henry Morgentaler	1923 births, 2013 deaths, Abortion-rights activists, Canadian activists, Canadian Jews, Canadian physicians, Deaths from myocardial infarction, Holocaust survivors, Humanists, Jewish activists, Naturalized citizens of Canada, Order of Canada, People from Łódź, Polish Jews
Andrew Greeley	1928 births, 2013 deaths, Accidental deaths in Chicago, Roman Catholic priests, American educators, American sociologists, American philanthropists, American Roman Catholics, Writers from Illinois, Journalists from Illinois, People from Oak Park, Illinois
Coriaria ruscifolia	Cucurbitales, Shrubs
The Little Mermaid (statue)	Copenhagen, Statues, 1913 establishments in Europe, 20th century establishments in Denmark
Dean Brooks	1916 births, 2013 deaths, Actors from Oregon, Actors from Washington, American movie actors, American physicians, Deaths from natural causes, Scientists from Washington
My Cousin Vinny	1992 comedy movies, 1992 crime movies, 1990s criminal comedy movies, 1990s legal movies, 20th Century Fox movies, American criminal comedy movies, American legal movies, English-language movies, Movies about families, Movies set in Alabama, Murder in movies, Works about cousins, Movies directed by Jonathan Lynn
Bulgarian Orthodox Church	Eastern Orthodox Church, Religion in Bulgaria
Hangman	Word games
Battle of Majuba Hill	Boer Wars, Battles, 1881, 19th century in South Africa, February events
Thomas (name)	Given names
Thomas (surname)	Surnames
Sondra Locke	Actors from Tennessee, American television actors, American stage actors, American movie actors, Deaths from cardiac arrest, Deaths from breast cancer, Deaths from bone cancer, Cardiovascular disease deaths in Los Angeles, Cancer deaths in Los Angeles, 1944 births, 2018 deaths
The Gauntlet	1970s crime drama movies, 1977 drama movies, American movies, English-language movies, Movies directed by Clint Eastwood
Sukhoi Su-17	Soviet military aircraft
Edward O. Thorp	American mathematicians, 1932 births, Living people, Scientists from Chicago
Maureen Duffy	1933 births, Humanists, English playwrights, English novelists, English poets, English screenwriters, LGBT rights activists, Living people, Writers from Sussex
Beesha Darawiish	Somali people, Ethnic groups in Africa
Hydrogenosome	Organelles
New Zealand national cricket team	Cricket, Sport in New Zealand, 1930 establishments, 20th-century establishments in New Zealand
Marylebone Cricket Club	Cricket, Buildings and structures in the City of Westminster, 1787 establishments, Sports buildings in the United Kingdom, 1780s establishments in England
Marylebone	City of Westminster
Facta	Finland, Encyclopedias, 1969 books
Mäntsälä	Municipalities of Uusimaa
Joutsa	Municipalities of Central Finland
Mäntyharju	Municipalities of Finland
Feldkirch	Cities and towns in Vorarlberg
Mikkeli	Towns in Finland, Municipalities of Southern Savonia, 19th century establishments in Finland, 1838 establishments in Europe
Medullary ray	Plant anatomy, Plant tissues
Savonlinna	Towns in Finland, Municipalities of Southern Savonia
Rovaniemi	Towns in Finland, Municipalities of Lapland (Finland)
Quiet storm	Soul music, Radio
Christy Mathewson	American baseball players, 1880 births, 1925 deaths, Sportspeople from Pennsylvania, Cincinnati Reds managers, Cincinnati Reds players, New York Giants (NL) players, National Baseball Hall of Fame members
Drying rack	Everyday life, Furniture
Altenstadt (Feldkirch)	Cities and towns in Vorarlberg
Cytokine storm	Immunology, Diseases
Dassault Mirage F1	French military aircraft, Dassault Aviation
Black Hole of Calcutta	Prisons, British India, Kolkata
Vellum	Writing media, Materials
Mitchell, South Dakota	County seats in South Dakota, Cities in South Dakota, 1883 establishments in Dakota Territory
Porter Airlines	Airlines of Canada, 2006 establishments in Canada
Paul Villard	French scientists, 1860 births, 1934 deaths
Canton, South Dakota	County seats in South Dakota, Cities in South Dakota, 1881 establishments in Dakota Territory
Affliction (movie)	1997 movies, American drama movies, American mystery movies, English-language movies, Movies directed by Paul Schrader
The Great Escape (movie)	1960s adventure movies, 1963 drama movies, 1960s war movies, American adventure movies, American drama movies, American prison movies, American war movies, English-language movies, German-language movies, Movies based on real life events, Movies set in Germany, Movies set in the 1940s, Multilingual movies, Prison drama movies, World War II movies, Movies directed by John Sturges
SpongeBob SquarePants (season 8)	SpongeBob SquarePants seasons, 2011 television seasons, 2012 television seasons
